"","year","dem_2p","district","state"
"472",2020,0.352020088785256,"4","IN"
"473",2018,0.390341845580838,"4","IN"
"474",2016,0.318613666815543,"4","IN"
"475",2020,0.418985052470068,"5","IN"
"476",2018,0.447477776424744,"5","IN"
"477",2016,0.374874222654768,"5","IN"
"478",2020,0.337087526599946,"6","IN"
"479",2018,0.375292409990989,"6","IN"
"480",2016,0.301370853718952,"6","IN"
"481",2020,0.716484712855717,"7","IN"
"482",2018,0.729465988015797,"7","IN"
"483",2016,0.69091460124332,"7","IN"
"484",2020,0.333027797800737,"8","IN"
"485",2018,0.397391412231307,"8","IN"
"486",2016,0.3201613303139,"8","IN"
"487",2020,0.360790934584788,"9","IN"
"488",2018,0.423679264982251,"9","IN"
"489",2016,0.350618270142488,"9","IN"
"490",2020,0.348357558785616,"1","KS"
"491",2018,0.483113725349972,"1","KS"
"492",2016,0.317604923021301,"1","KS"
"493",2020,0.415054964812246,"2","KS"
"494",2018,0.536087828959051,"2","KS"
"495",2016,0.397448794201457,"2","KS"
"496",2020,0.522662644094055,"3","KS"
"497",2018,0.579388011892604,"3","KS"
"498",2016,0.47074518772632,"3","KS"
"499",2020,0.388841553851494,"4","KS"
"500",2018,0.495961146824728,"4","KS"
"501",2016,0.353599257812652,"4","KS"
"502",2020,0.415908783592213,"1","KY"
"503",2018,0.415908783592213,"1","KY"
"504",2016,0.268453754660039,"1","KY"
"505",2020,0.451208075279876,"2","KY"
"506",2018,0.451208075279876,"2","KY"
"507",2016,0.290041849615807,"2","KY"
"508",2020,0.697043724553018,"3","KY"
"509",2018,0.697043724553018,"3","KY"
"510",2016,0.586093681365366,"3","KY"
"511",2020,0.459349803820118,"4","KY"
"512",2018,0.459349803820118,"4","KY"
"513",2016,0.304767423208247,"4","KY"
"514",2020,0.391188270694436,"5","KY"
"515",2018,0.391188270694436,"5","KY"
"516",2016,0.188126187708873,"5","KY"
"517",2020,0.554993274984124,"6","KY"
"518",2018,0.554993274984124,"6","KY"
"519",2016,0.406866889434626,"6","KY"
"520",2020,0.298598393947511,"1","LA"
"521",2018,0.42380615215168,"1","LA"
"522",2016,0.273236621061512,"1","LA"
"523",2020,0.76861480835893,"2","LA"
"524",2018,0.821561893385098,"2","LA"
"525",2016,0.770576445470786,"2","LA"
"526",2020,0.308424501967855,"3","LA"
"527",2018,0.368309230494555,"3","LA"
"528",2016,0.303940346471895,"3","LA"
"529",2020,0.377729913266426,"4","LA"
"530",2018,0.413348956772125,"4","LA"
"531",2016,0.380124676482906,"4","LA"
"532",2020,0.349393927989323,"5","LA"
"533",2018,0.412215191477498,"5","LA"
"534",2016,0.35219486518618,"5","LA"
"535",2020,0.328398495707089,"6","LA"
"536",2018,0.453525950645473,"6","LA"
"537",2016,0.31563667567576,"6","LA"
"538",2020,0.61065802848831,"1","MA"
"539",2018,0.314475296183779,"1","MA"
"540",2016,0.594838453844378,"1","MA"
"541",2020,0.658035533758107,"2","MA"
"542",2018,0.321154311953522,"2","MA"
"543",2016,0.629943255429087,"2","MA"
"544",2020,0.640880839496457,"3","MA"
"545",2018,0.286326221755917,"3","MA"
"546",2016,0.616976974806529,"3","MA"
"547",2020,0.644734135491146,"4","MA"
"548",2018,0.309081335772484,"4","MA"
"549",2016,0.621803230815048,"4","MA"
"550",2020,0.757045705579397,"5","MA"
"551",2018,0.395585391129857,"5","MA"
"552",2016,0.730069042928215,"5","MA"
"553",2020,0.640317507182521,"6","MA"
"554",2018,0.264558103194399,"6","MA"
"555",2016,0.59790765171504,"6","MA"
"556",2020,0.866283449224805,"7","MA"
"557",2018,0.565256128650947,"7","MA"
"558",2016,0.876862733554592,"7","MA"
"559",2020,0.678330534303664,"8","MA"
"560",2018,0.32294357918507,"8","MA"
"561",2016,0.645556041276013,"8","MA"
"562",2020,0.59284911015512,"9","MA"
"563",2018,0.262692034382591,"9","MA"
"564",2016,0.553653221281205,"9","MA"
"565",2020,0.42612087351926,"1","MD"
"566",2018,0.223145903861434,"1","MD"
"567",2016,0.378192904496887,"1","MD"
"568",2020,0.60325929251507,"2","MD"
"569",2018,0.345342754635335,"2","MD"
"570",2016,0.555010373002208,"2","MD"
"571",2020,0.631374754565883,"3","MD"
"572",2018,0.351457278139559,"3","MD"
"573",2016,0.574901422437714,"3","MD"
"574",2020,0.912935295833195,"4","MD"
"575",2018,0.737061608700354,"4","MD"
"576",2016,0.924811144758968,"4","MD"
"577",2020,0.676064177958283,"5","MD"
"578",2018,0.440931267471894,"5","MD"
"579",2016,0.615726604918556,"5","MD"
"580",2020,0.544209307133128,"6","MD"
"581",2018,0.337267523686266,"6","MD"
"582",2016,0.499438001494331,"6","MD"
"583",2020,0.825559682695343,"7","MD"
"584",2018,0.618322612222067,"7","MD"
"585",2016,0.818935063490077,"7","MD"
"586",2020,0.818999385554956,"8","MD"
"587",2018,0.559041394335512,"8","MD"
"588",2016,0.806761691888657,"8","MD"
"589",2020,0.617349612052568,"1","ME"
"590",2018,0.587955404059211,"1","ME"
"591",2016,0.577444930951291,"1","ME"
"592",2020,0.468718115387997,"2","ME"
"593",2018,0.48846001226507,"2","ME"
"594",2016,0.451353206218482,"2","ME"
"595",2020,0.399710589073645,"1","MI"
"596",2018,0.444277700963365,"1","MI"
"597",2016,0.376987834164621,"1","MI"
"598",2020,0.354469194980967,"2","MI"
"599",2018,0.416509190567153,"2","MI"
"600",2016,0.349078102340999,"2","MI"
"601",2020,0.544447859146831,"3","MI"
"602",2018,0.538399363728654,"3","MI"
"603",2016,0.502222127584497,"3","MI"
"604",2020,0.481114197066891,"4","MI"
"605",2018,0.490881409737294,"4","MI"
"606",2016,0.450779809819916,"4","MI"
"607",2020,0.376635145282611,"5","MI"
"608",2018,0.4271682487323,"5","MI"
"609",2016,0.365868638640523,"5","MI"
"610",2020,0.635443224654602,"6","MI"
"611",2018,0.647959798648858,"6","MI"
"612",2016,0.609885410399134,"6","MI"
"613",2020,0.505318588971938,"7","MI"
"614",2018,0.54582555183868,"7","MI"
"615",2016,0.48055189340232,"7","MI"
"616",2020,0.511008904051011,"8","MI"
"617",2018,0.562903819862787,"8","MI"
"618",2016,0.506242418535607,"8","MI"
"619",2020,0.349838783461548,"9","MI"
"620",2018,0.409800960463922,"9","MI"
"621",2016,0.325521473062457,"9","MI"
"622",2020,0.49565964212454,"10","MI"
"623",2018,0.543954799334675,"10","MI"
"624",2016,0.472346340979049,"10","MI"
"625",2020,0.600963257594152,"11","MI"
"626",2018,0.616629945941035,"11","MI"
"627",2016,0.573535322551643,"11","MI"
"628",2020,0.745907864756567,"12","MI"
"629",2018,0.770651993699743,"12","MI"
"630",2016,0.745116304065492,"12","MI"
"631",2020,0.750847009706835,"13","MI"
"632",2018,0.781714754019331,"13","MI"
"633",2016,0.765483669593168,"13","MI"
"634",2020,0.453060666093129,"1","MN"
"635",2018,0.514379538568309,"1","MN"
"636",2016,0.423858909005683,"1","MN"
"637",2020,0.536508731977782,"2","MN"
"638",2018,0.537147488052071,"2","MN"
"639",2016,0.494197263007326,"2","MN"
"640",2020,0.608022266999078,"3","MN"
"641",2018,0.572797809219534,"3","MN"
"642",2016,0.56168631342743,"3","MN"
"643",2020,0.693842356820838,"4","MN"
"644",2018,0.687777312547267,"4","MN"
"645",2016,0.6727575515011,"4","MN"
"646",2020,0.824723763159366,"5","MN"
"647",2018,0.818063440135989,"5","MN"
"648",2016,0.805193793376402,"5","MN"
"649",2020,0.409794329073482,"6","MN"
"650",2018,0.4280391909794,"6","MN"
"651",2016,0.370344549223939,"6","MN"
"652",2020,0.330935121888301,"7","MN"
"653",2018,0.392832517469324,"7","MN"
"654",2016,0.316388720256163,"7","MN"
"655",2020,0.442135870358655,"8","MN"
"656",2018,0.5023398964189,"8","MN"
"657",2016,0.430398891281783,"8","MN"
"658",2020,0.799736507012266,"1","MO"
"659",2018,0.819198359114606,"1","MO"
"660",2016,0.78552584169481,"1","MO"
"661",2020,0.460522100068383,"2","MO"
